id, folding
bpRNA_RFAM_40532,((((((..(((((..............)))))..)).))))
bpRNA_RFAM_40544,.(((((((.((((..............))))..))))))).
5v16,((((((.....(((((((((......)))))))))))))))
bpRNA_RFAM_40549,..((((..(((...(((..........)))..)))))))..
bpRNA_CRW_17850,.((.....))((((.......))))................
bpRNA_RFAM_40534,..(((((((.(((...(......)...)))..)))))))..
2l2j,((((.(((((((((.((((....)))).))))))))).))))
5m0h-1-A,(((((.((..((((...((((....))))..)))))))))))
bpRNA_RFAM_9432,...((((.((((((((........))))))))...))))...
bpRNA_RFAM_15513,......((((((((((((((....))))))))))....))))
1mnx,((((.......((((((((....)))))))).......))))
5wlh-1-B,.......((((........))))...................
bpRNA_RFAM_33555,...............(((((((...)))))))(((....)))
bpRNA_RFAM_22565,..(((((((..((.(((((......))))).)).))).))))
5o7h-1-A,...........................(((((.....)))))
bpRNA_CRW_47299,...............((((((((.......))))))))....
bpRNA_RFAM_33564,..............(((((((....)))))))..........
bpRNA_RFAM_16889,..(((((((...((.((((.......)))))).)))))))..
bpRNA_RFAM_9430,...((((.((((((((.......)).))))))...))))...
bpRNA_RFAM_13075,(((.(((((((((((((.........))))))))))))))))
bpRNA_RFAM_40527,..(((((((((((...............))))).))))))..
bpRNA_RFAM_22564,..(((((...((((((((((...)).))))))))...)))))
bpRNA_RFAM_16893,..(((((((....((((.........))))...)))))))..
bpRNA_RFAM_33547,...............(((((((....)))))))..........
bpRNA_RFAM_25928,((((((..........((((....)))).......))))))..
bpRNA_RFAM_16130,((((.(((.((((((....))))))))).))))..........
bpRNA_RFAM_8418,.(((((....(((.(.(((.......))).))))...))))).
bpRNA_RFAM_16121,((.((((.......)))))).(((((((((...))).))))))
bpRNA_RFAM_8408,((((((.(..(((.(..(((......))).)))).).))))))
6sy4_C,((((((...........((((....))))........))))))
bpRNA_RFAM_34902,(((((((((((((((((.....)))...))))).)))))))))
bpRNA_RFAM_16891,.(((((.((...((((.............)))).)).))))).
bpRNA_RFAM_16144,((((.........(((((....)))))((((....))))))))
bpRNA_RFAM_33572,....(((.(......(((((((...))))))).....).))).
bpRNA_RFAM_8407,((((((.(..(((.(..(((......))).)))).).))))))
2adt,(((((..((((((((((((....))))))))))))...)))))
bpRNA_RFAM_33567,...............(((((((....)))))))..........
bpRNA_RFAM_34903,(((((((((((((.(.((.....))..).)))).)))))))))
bpRNA_RFAM_16895,..(((((((...((((((((.....))))).))).)))))))..
bpRNA_RFAM_33549,.....(((.((....(((((((....)))))))....)).))).
bpRNA_RFAM_30337,.((.((((((....)))))).)).......(((((....)))))
bpRNA_RFAM_23220,((((((((....))))))))..........(((((....)))))
bpRNA_RFAM_30271,.......((((((((((((((...))))))))).))))).....
bpRNA_RFAM_22563,.((((((((.(((.(((((......))))).))))))).)))).
bpRNA_RFAM_16888,..(((((((...(((((............))))).)))))))..
bpRNA_RFAM_23201,..((((....)))).......((.....))(((((....)))))
bpRNA_RFAM_8405,.............(((((....(((((.......))))))))))
bpRNA_RFAM_30290,.(((((((...)))))))............(((((....)))))
bpRNA_RFAM_18095,.................((((((((.....)))))))).......
bpRNA_RFAM_42263,.(((((...(((.(((((((...))))))).))))))))......
bpRNA_RFAM_8402,........((((((((((......).))....)))))))......
6d3p-1-A,..((((..(((((.............).))))...))))......
bpRNA_RFAM_23210,((((((((....)))))))).............((((....))))
bpRNA_RFAM_18037,...................((((((.....)))))).........
bpRNA_RFAM_15403,.(((((((((((((((.....))).))))))))))))........
bpRNA_RFAM_35602,.((((((..(((((((.(..((...))..)))))))).)))))).
bpRNA_RFAM_42059,.((((..........))))..(((((((((....)))))))))..
bpRNA_RFAM_15520,((((((.(((((.(((...........)))...))))).))))))
bpRNA_RFAM_42055,.((((((....))))))......((((((......))))))....
bpRNA_RFAM_16001,(((((....(((((((....)))..))))......))))).....
bpRNA_RFAM_4867,.....((((((....))))))....((((((.....))))))...
bpRNA_RFAM_23253,.....(((.((.((((..(((......)))..))))..)).))).
bpRNA_RFAM_16008,.....(((((............)))))..................
bpRNA_CRW_22874,(((((...))))).((((((..(((.......)))...)))))).
bpRNA_RFAM_23189,((((((((....))))))))((((........)))).........
bpRNA_RFAM_16012,......((((............))))...................
bpRNA_RFAM_8391,(((((((((...(((((......)))))...)).))....)))))
bpRNA_RFAM_42143,.(((...))).((((((((..((((....))))..)).)))))).
bpRNA_RFAM_16005,.....(((((............)))))..................
bpRNA_RFAM_18049,.................(((((((.......))))))).......
bpRNA_RFAM_8401,..............(((.....)))..((((((....))))))..
1p6v-1-B,.......(((((((....)))))))...(((((.......)))))
4rmo-1-B,..........(((((((.(((((...)))))..))))))).....
bpRNA_RFAM_27649,((((((((....))))))))............(((((...))))).
bpRNA_RFAM_4873,....(((.(((((((((.((((......)).)).))))))))))))
bpRNA_RFAM_4845,.....((((((....)))))).........(((......)))....
bpRNA_RFAM_27659,..(((((...)))))((((((....)).))))(((((...))))).
bpRNA_RFAM_27660,((((((((....))))))))............(((((...))))).
bpRNA_RFAM_27631,(((.((((....)))).)))............(((((...))))).
bpRNA_RFAM_4882,.....((((((....)))))).........................
bpRNA_RFAM_4862,.....((((((....)))))).........................
bpRNA_RFAM_27648,((.(((((....))))).))............(((((...))))).
bpRNA_RFAM_32163,(((.....(((((((((....(((...)))..)))))))))..)))
bpRNA_RFAM_25418,((((..((((....(((.(((......)))...)))))))..))))
bpRNA_RFAM_4889,.....((((((....)))))).........................
bpRNA_RFAM_4886,.....((((((....))))))....(.((.((....)).)).)...
bpRNA_RFAM_4877,.....((((((....))))))...........((((......))))
3iab-1-R,((((((........((((((....))))))..........))))))
bpRNA_RFAM_27578,((((((((....))))))))............((((.....)))).
bpRNA_RFAM_4861,....(((((((....)))))))((((...)))).............
bpRNA_RFAM_4849,.....((((((....)))))).((((.((((.....)))).)))).
bpRNA_RFAM_4865,.....((((((....)))))).........................
bpRNA_RFAM_4870,.....((((((....)))))).........................
bpRNA_RFAM_4874,.....((((((....)))))).......(((((((....)))))))
bpRNA_RFAM_27647,((((.(((....))).))))............((((.....)))).
bpRNA_RFAM_27653,((((((((....))))))))............(((((...))))).
bpRNA_RFAM_27634,((((((((....))))))))............((((.....)))).
bpRNA_RFAM_27588,((((((((....))))))))...........((((((...))))))
bpRNA_RFAM_4883,......((.((((((.((..(((....)))..)).)))))).))..
bpRNA_RFAM_27654,.(((((((....)))))))(((((((((...))))...)))))...
bpRNA_RFAM_4853,....(((((((....)))))))........................
bpRNA_RFAM_4854,....(((((((....)))))))........................
bpRNA_RFAM_27657,.(((((((....)))))))(((((...)))))(((((...))))).
bpRNA_RFAM_4848,.....((((((....)))))).........................
2nue-1-C,(((((((((((((((((((((....)))))))))))))))))))))
bpRNA_RFAM_4864,.....((((((....)))))).........................
bpRNA_RFAM_4881,.....((((((....)))))).....((((((....)))).))...
bpRNA_RFAM_27615,....((((....))))..(((........)))(((((...))))).
bpRNA_RFAM_4850,.....((((((....))))))..((((((((....))))))))...
bpRNA_RFAM_4876,.....((((((....))))))..(((((((.........)))))))
bpRNA_RFAM_11931,(((((......(((......((....)).......)))...)))))
bpRNA_RFAM_27585,((((((((....))))))))............(((((...))))).
bpRNA_RFAM_4888,.....((((((....)))))).........................
bpRNA_RFAM_23249,((((((((....))))))))............(((((....)))))
bpRNA_RFAM_4863,.....((((((....)))))).....(((((((....)))))))..
bpRNA_RFAM_4872,.....((((((....)))))).........................
bpRNA_RFAM_27644,((((((((....))))))))((((..............))))....
bpRNA_RFAM_27638,((((((((....))))))))............(((((...))))).
bpRNA_RFAM_30275,.(((.....(((((..(((((.....)))))....)))))...)))
bpRNA_RFAM_27616,(((.((((....)))).)))............(((((...))))).
bpRNA_RFAM_27612,..((((((....))))))(((........)))(((((...))))).
bpRNA_RFAM_4871,.....((((((....)))))).((.(((...........)))))..
bpRNA_RFAM_2242,(((.(........).)))(((.(..((((....))))..).)))..
bpRNA_RFAM_4857,.....((((((....)))))).........................
bpRNA_RFAM_27662,((((((((....))))))))............(((((...))))).
bpRNA_RFAM_27643,((((((((....))))))))............(((((...))))).
bpRNA_RFAM_27586,((((((((....))))))))............(((((...))))).
bpRNA_RFAM_4846,.....((((((....)))))).....((((..((....))..))))
bpRNA_RFAM_8400,......(((....((((.......))))....)))...........
bpRNA_RFAM_16030,.....(((((.............)))))..................
bpRNA_RFAM_4878,.....((((((....))))))((((............)))).....
bpRNA_RFAM_4859,.....((((((....)))))).........................
bpRNA_RFAM_27590,((((((((....))))))))...........((((((...))))))
bpRNA_RFAM_23233,((((((((....))))))))............(((((....)))))
bpRNA_RFAM_4880,.....((((((....)))))).......(((..(....)..)))..
bpRNA_RFAM_23227,..((((((....))))))...............(((((....)))))
bpRNA_RFAM_32159,.........((((..(((...(((....))).)))..))))......
bpRNA_RFAM_32156,(((.....((((((((((...(((....))).))))))))))..)))
bpRNA_RFAM_41321,........(((((.(((((((..........)))))))...))))).
1s03-1-A,((((((.((.((...((((((((....))))))))..))))))))))
5dcv-1-B,(((..(((((...((((........)))).......)))))...)))
bpRNA_RFAM_32158,.........((((..(((...(((....))).)))..))))......
bpRNA_RFAM_15408,.((((((((((((.((((.....))))))))))))))))........
bpRNA_RFAM_23247,..((((((....))))))...............(((((....)))))
bpRNA_RFAM_23226,..((((((....))))))...............(((((....)))))
bpRNA_RFAM_32222,..(((((.(((((....))))).((......)).......)))))..
bpRNA_RFAM_42084,....((((((((....((.......))....))))).))).......
bpRNA_RFAM_5054,.............(((((((...(((......)))....))))))).
4o26-1-E,((((((.(((((.((((...))))))))).(((...)))..))))))
bpRNA_RFAM_23236,((((((((....))))))))..............((((....)))).
bpRNA_RFAM_32160,(((..(((((((.(((((...(((...))).)))))))))))).)))
bpRNA_RFAM_23199,((((((((....)))))))).............(((((....)))))
2mtj,(((((..(((((....))))).(((((....))))).....))))).
1xjr-1-A,..(((((((.(..(((.((((.....))..))..))).).)))))))
bpRNA_RFAM_24491,............(((((((...))))))).((.(((.....))).))
bpRNA_RFAM_25414,(((((..((((..((((..(......)..))))....)))).)))))
bpRNA_RFAM_23209,((((((((....))))))))..............((((....)))).
bpRNA_RFAM_15406,.(((((((((((..((((....))))..)))))))))))........
bpRNA_RFAM_23206,.(((((((....)))))))...............(((((....)))))
bpRNA_RFAM_32277,((((((...(((((........))).))....))))))..........
bpRNA_RFAM_23218,..((((((....))))))......(((((.(((.....))).))))).
bpRNA_RFAM_23223,....((((....))))..................(((((....)))))
1kh6-1-A,(((((....((((.((.((((((....)))))).)).))))..)))))
bpRNA_RFAM_23193,(((.((((....)))).)))..............(((((....)))))
2ke6,(((((((((((((((((((........))))))).))).)))))))))
bpRNA_RFAM_23463,(((...((((((((....))))))))......))).............
bpRNA_RFAM_23242,..((((((....))))))..(((.....)))...(((((....)))))
bpRNA_RFAM_18047,................((.((((((((....)))))))).))......
bpRNA_RFAM_23197,.(((((((....)))))))...............(((((....)))))
bpRNA_RFAM_31482,.(((((((((..(((....)))..)))))))))...............
bpRNA_RFAM_23254,(((((.((....)).)))))..((((....))))(((((....)))))
bpRNA_RFAM_32553,...((.((..((.((.(((((.........))))).))))..)).)).
bpRNA_RFAM_23488,...(((......))).(((((((.((((........)))).)))))))
bpRNA_RFAM_16019,....((((((...............)))))).................
bpRNA_RFAM_31481,..((((((((..(((....)))..)))))))).((((.....))))..
bpRNA_RFAM_23203,...(((((....)))))(((((...)))))....(((((....)))))
6gzk,(((((((((((((....)))))....((((....)))).))).)))))
4c7o-1-E,((((((((((((((..(((((....)))))..))))).).))))))))
bpRNA_RFAM_27996,(((((.(((..((((......)).))....))).))))).........
2m8k,..........((((((((((((((((....)))).).)))))))))))
bpRNA_RFAM_31466,.....(((((..(((....)))..))))).(((((.......))))).
bpRNA_RFAM_32958,..(((((((((...)))).......(((....)))....)))))....
bpRNA_RFAM_23228,((((((((....))))))))...............(((((....)))))
bpRNA_RFAM_31499,....((((((..(((....)))..))))))...................
6fz0-1-A,.((.((.((((..(((((..........))))))))).)).))......
bpRNA_RFAM_32326,.((.(((.(((....))).))).))..(((.((.......)).)))...
bpRNA_RFAM_23191,((((((((....)))))).))..............(((((....)))))
bpRNA_RFAM_23217,...(((((.((.(((((((.((((....)))).))))))).)).)))))
bpRNA_RFAM_23231,((((((((....))))))))(((...........)))((.....))...
bpRNA_RFAM_31490,.((((.((((..(((....)))..)))).))))................
bpRNA_RFAM_31500,...(((((((..(((....)))..))))))).....(((....)))...
bpRNA_RFAM_31488,...(((((((..(((....)))..)))))))...((.((....)).)).
bpRNA_RFAM_35010,..........(.(((((((..((((...))))..))))))).)......
1dul-1-B,((((((((((....(((....(((....)))....))).))))))))))
bpRNA_RFAM_32570,(((((((.(((((....))))).((....)).........)))))))..
bpRNA_CRW_48699,.........((((.....(((.(((.....))).)))..))))......
2lu0,(((((..((((.((....))...(((((....)))))))))...)))))
1u63-1-B,((((((((((..((((((((....)))).))))......))))))))))
bpRNA_RFAM_23198,((((((((....))))).)))...............((((....)))).
bpRNA_RFAM_41322,....(((......(((.................)))......)))....
bpRNA_RFAM_40278,.(.((((((...((((.....((....)).....)))))))))).)...
5ztm-1-C,(((((.((((.((((((((((((...)))))))))))).)))).)))))
bpRNA_RFAM_31486,..((((((((..(((....)))..)))))))).................
bpRNA_RFAM_31495,...(((((((..(((....)))..)))))))..................
bpRNA_RFAM_23238,..((((((....))))))...((((.......))))((((....)))).
bpRNA_RFAM_23234,((((((((....))))))))...............(((((....)))))
bpRNA_RFAM_31512,.(((((((((..(((....)))..))))).))))...............
bpRNA_RFAM_30277,....(((.....(((((..((((((...))))))....)))))...)))
bpRNA_RFAM_31472,(.(.((((((..(((....)))..)))))).).)...............
bpRNA_RFAM_16088,((((....((((.(((((.......)))))))))....)))).......
bpRNA_RFAM_31487,...(((((((..(((....)))..)))))))...................
bpRNA_RFAM_23243,((((((((....)))).))))((((.(....)))))(((((....)))))
bpRNA_RFAM_23187,...(((((....)))))(((.....))).........((((....)))).
6qn3_A,(((.(.(((....))).).)))..((((((((..........))))))))
bpRNA_RFAM_31507,...(((((((..(((....)))..))))))).......((.......)).
bpRNA_RFAM_42805,.......(((((.....))))).............(((........))).
bpRNA_RFAM_31511,.....(((((..(((....)))..)))))((((....)))).........
bpRNA_RFAM_23194,((((((((....))))))))..............(((((...)))))...
bpRNA_RFAM_11210,..(((((((((((((((..........)))))))........)))))))).
bpRNA_RFAM_23190,(((.((((....)))))))..................(((((....)))))
bpRNA_RFAM_25549,.((.....((((....))))....))(((((((.....)))))))......
bpRNA_RFAM_23251,..((((((....))))))(((((((.....)))).)))((((....)))).
bpRNA_RFAM_41835,.............(((((((((((....))...)))))).....)))....
bpRNA_RFAM_11205,..(((((((((((((((..........)))))))........)))))))).
bpRNA_RFAM_35004,............((.(((((((..((((...))))..))))))).)).....
6aay-1-B,...............((((..(.(((((((......))))))).)..)))).
bpRNA_RFAM_8968,...(((((..((......))...(((((...)))))((((...)))))))))
bpRNA_RFAM_34934,((((.....))))..(((((((.(((((...))))).)))))))........
bpRNA_RFAM_15228,......(((((...((((((((((((....)))))))))).))...))))).
bpRNA_RFAM_34935,...........(((((((((((..((((...))))..)))))))...)))).
bpRNA_RFAM_22055,....((((((((.((((((((((((...)))))))))))).))))))))...
bpRNA_RFAM_15110,......(((((((((.(((((((((......))))))))).))..)))))))
bpRNA_RFAM_34984,.......((((..(((((((((..((((...))))..))))))).)).))))
3vrs-1-A,((((......))))(((......(((((....)))))....)))........
bpRNA_RFAM_40517,((((((((((.(((((((.((........)).)))))))...))))))))))
bpRNA_RFAM_42803,...(((...((((((((((..((......))..)).)))..))))).)))..
bpRNA_RFAM_34953,..(((....)))..((((((((..((((...))))..)))))))).......
bpRNA_RFAM_42809,...((...(((...(((....((.........))..)))...)))....)).
bpRNA_RFAM_35015,.........(((((.(((((((..((((...))))..)))))))..).))))
bpRNA_RFAM_5052,..............(((((((.(((((.........)))))...))))))).
bpRNA_RFAM_42807,...((.((((.((((((..((............)).)))..))).)))))).
bpRNA_RFAM_34968,.((((.(((......(((((((..((((...))))..)))))))))))))).
bpRNA_RFAM_15825,.((((((...((((((......))))))...))))))...............
bpRNA_RFAM_15795,..........((((((......))))))...((((((....)))))).....
bpRNA_RFAM_15150,.......((((((..(((((((((((....)))))))))))....)))))).
3npq-1-A,.......((((((((...(.((((((....)))).)))....))))))))..
bpRNA_RFAM_15165,.......(((.(((((((((((((((....))))))))...))))))).)))
bpRNA_RFAM_34959,....(((.((..(((((.((((..((((...))))..))))))))))).)))
bpRNA_RFAM_22073,......((((((((((((((((.........)))))))))))))))).....
bpRNA_RFAM_22064,.(((((((.(((((((((((((.........))))))))))))).)))))))
bpRNA_RFAM_15834,((((((((..((((((......))))))..))...))))))...........
bpRNA_RFAM_34985,...((.((((((....((((((..((((...))))..)))))))))))).))
bpRNA_RFAM_34970,((......)).....(((((((..((((...))))..)))))))........
bpRNA_RFAM_22074,.....(((((((.((((((((...........)))))))).)))))))....
bpRNA_RFAM_15106,......(((((((.(((((((((((......))))))))..))).)))))))
bpRNA_RFAM_15151,......((((((.((((((((((((......))))))))))))..)))))).
bpRNA_RFAM_15136,......((((((..(((((((((((......)))))))))))...)))))).
bpRNA_RFAM_34983,(((((...)))))..(((((((.(((((...))))).)))))))........
bpRNA_RFAM_15247,.....(((((...(.(((((((.((((...))))))))))).)..)))))..
bpRNA_RFAM_22062,......((((((((((((((((.........)))))))))))))))).....
bpRNA_RFAM_22058,....((((((((.(((((((((.........))))))))).))))))))...
bpRNA_RFAM_22060,....((((((((((((((((((((.....))))))))))))))))))))...
5tf6-1-D,(((((.((((........))))..))))).......(((((.....))))).
bpRNA_RFAM_8964,.....(((...)))((((((....(((((...)))))........)))))).
bpRNA_RFAM_15170,.......((((.....(((((..((.....)))))))))))...........
bpRNA_RFAM_42806,...((((.((((..(((.((((.(......).)))))))...)))).)))).
bpRNA_RFAM_34972,......(((((.(((.((((((..((((...))))..))))))))).)))))
bpRNA_RFAM_15797,(((((((.(.((((((......)))))).))))))..)).............
4oji-1-A,((((((..((((.....((((........)))).....))))....))))))
bpRNA_RFAM_31470,..((((((((..(((....)))..))))))))....((........))....
bpRNA_RFAM_34978,.......((.((.((((((.((..((((...))))..)))))))).)).)).
bpRNA_RFAM_15199,.......((((((((((.(((((((......)))))))....))))))))))
bpRNA_RFAM_15792,..........((((((......))))))...((((((....)))))).....
bpRNA_RFAM_15802,....((((..((((((......))))))....((((......))))))))..
bpRNA_RFAM_6490,.......(((((.(((.(((((.....))))).)........)).)))))..
5y7m-1-B,....((((...(((((..(.........)..))))).....)))).......
bpRNA_RFAM_34994,.......((..(.((((.((((..((((...))))..)))))))).)..)).
bpRNA_RFAM_23188,..((((((....)))))).((((...)))).........((((....)))).
bpRNA_RFAM_25134,........................((((((((((........))))))))))
bpRNA_RFAM_23214,((((((((....))))))))..................(((((....)))))
bpRNA_RFAM_34938,.((.....)).....(((((((..((((...))))..)))))))........
bpRNA_RFAM_34937,.............((.((((((..((((....))))..)))))))).......
bpRNA_RFAM_22291,..(((((((....).))))))(((....)))......................
